Date,City,Gas Prices (dollars per gallon),,,
16-Sep,Boston,2.257,,,
16-Oct,Boston,2.308,,,
16-Nov,Boston,2.282,,,
16-Dec,Boston,2.327,,,
17-Jan,Boston,2.401,,,
17-Feb,Boston,2.351,,,
17-Mar,Boston,2.33,,,
17-Apr,Boston,2.41,,,
17-May,Boston,2.47,,,
17-Jun,Boston,2.421,,,
17-Jul,Boston,2.379,,,
17-Aug,Boston,2.445,,,
17-Sep,Boston,2.828,,,
17-Oct,Boston,2.715,,,
17-Nov,Boston,2.688,,,
17-Dec,Boston,2.649,,,
18-Jan,Boston,2.659,,,
18-Feb,Boston,2.705,,,
18-Mar,Boston,2.664,,,
18-Apr,Boston,2.781,,,
18-May,Boston,2.952,,,
18-Jun,Boston,2.969,,,
18-Jul,Boston,2.956,,,
18-Aug,Boston,2.942,,,
18-Sep,Boston,2.923,,,
18-Oct,Boston,2.899,,,
18-Nov,Boston,2.809,,,
18-Dec,Boston,2.674,,,
19-Jan,Boston,2.521,,,
19-Feb,Boston,2.464,,,
19-Mar,Boston,2.532,,,
19-Apr,Boston,2.741,,,
19-May,Boston,2.903,,,
19-Jun,Boston,2.812,,,
19-Jul,Boston,2.802,,,
19-Aug,Boston,2.78,,,
19-Sep,Boston,2.685,,,
19-Oct,Boston,2.657,,,
19-Nov,Boston,2.643,,,
19-Dec,Boston,2.635,,,
20-Jan,Boston,2.639,,,
20-Feb,Boston,2.581,,,
20-Mar,Boston,2.387,,,
20-Apr,Boston,2.046,,,
20-May,Boston,2.041,,,
20-Jun,Boston,2.136,,,
20-Jul,Boston,2.186,,,
20-Aug,Boston,2.193,,,
20-Sep,Boston,2.191,,,
20-Oct,Boston,2.175,,,
20-Nov,Boston,2.154,,,
20-Dec,Boston,2.244,,,
21-Jan,Boston,2.385,,,
21-Feb,Boston,2.536,,,
21-Mar,Boston,2.805,,,
21-Apr,Boston,2.832,,,
Jun-00,Chicago,2.075,,,
Jul-00,Chicago,1.611,,,
Aug-00,Chicago,1.404,,,
Sep-00,Chicago,1.56,,,
Oct-00,Chicago,1.551,,,
Nov-00,Chicago,1.567,,,
Dec-00,Chicago,1.483,,,
1-Jan,Chicago,1.562,,,
1-Feb,Chicago,1.522,,,
1-Mar,Chicago,1.427,,,
1-Apr,Chicago,1.735,,,
1-May,Chicago,2.022,,,
1-Jun,Chicago,1.783,,,
1-Jul,Chicago,1.416,,,
1-Aug,Chicago,1.64,,,
1-Sep,Chicago,1.849,,,
1-Oct,Chicago,1.466,,,
1-Nov,Chicago,1.261,,,
1-Dec,Chicago,1.204,,,
2-Jan,Chicago,1.153,,,
2-Feb,Chicago,1.152,,,
2-Mar,Chicago,1.372,,,
2-Apr,Chicago,1.543,,,
2-May,Chicago,1.577,,,
2-Jun,Chicago,1.566,,,
2-Jul,Chicago,1.526,,,
2-Aug,Chicago,1.524,,,
2-Sep,Chicago,1.532,,,
2-Oct,Chicago,1.6,,,
2-Nov,Chicago,1.53,,,
2-Dec,Chicago,1.448,,,
3-Jan,Chicago,1.54,,,
3-Feb,Chicago,1.696,,,
3-Mar,Chicago,1.754,,,
3-Apr,Chicago,1.608,,,
3-May,Chicago,1.584,,,
3-Jun,Chicago,1.623,,,
3-Jul,Chicago,1.606,,,
3-Aug,Chicago,1.725,,,
3-Sep,Chicago,1.799,,,
3-Oct,Chicago,1.689,,,
3-Nov,Chicago,1.643,,,
3-Dec,Chicago,1.576,,,
4-Jan,Chicago,1.676,,,
4-Feb,Chicago,1.751,,,
4-Mar,Chicago,1.802,,,
4-Apr,Chicago,1.908,,,
4-May,Chicago,2.123,,,
4-Jun,Chicago,2.044,,,
4-Jul,Chicago,1.982,,,
4-Aug,Chicago,1.97,,,
4-Sep,Chicago,1.951,,,
4-Oct,Chicago,2.075,,,
4-Nov,Chicago,2.047,,,
4-Dec,Chicago,1.872,,,
5-Jan,Chicago,1.899,,,
5-Feb,Chicago,1.963,,,
5-Mar,Chicago,2.185,,,
5-Apr,Chicago,2.327,,,
5-May,Chicago,2.22,,,
5-Jun,Chicago,2.228,,,
5-Jul,Chicago,2.413,,,
5-Aug,Chicago,2.652,,,
5-Sep,Chicago,2.947,,,
5-Oct,Chicago,2.768,,,
5-Nov,Chicago,2.337,,,
5-Dec,Chicago,2.304,,,
6-Jan,Chicago,2.39,,,
6-Feb,Chicago,2.316,,,
6-Mar,Chicago,2.537,,,
6-Apr,Chicago,2.845,,,
6-May,Chicago,2.978,,,
6-Jun,Chicago,3.039,,,
6-Jul,Chicago,3.229,,,
6-Aug,Chicago,3.209,,,
6-Sep,Chicago,2.792,,,
6-Oct,Chicago,2.343,,,
6-Nov,Chicago,2.329,,,
6-Dec,Chicago,2.375,,,
7-Jan,Chicago,2.273,,,
7-Feb,Chicago,2.378,,,
7-Mar,Chicago,2.569,,,
7-Apr,Chicago,2.948,,,
7-May,Chicago,3.5,,,
7-Jun,Chicago,3.442,,,
7-Jul,Chicago,3.26,,,
7-Aug,Chicago,3.082,,,
7-Sep,Chicago,3.187,,,
7-Oct,Chicago,2.938,,,
7-Nov,Chicago,3.183,,,
7-Dec,Chicago,3.107,,,
8-Jan,Chicago,3.175,,,
8-Feb,Chicago,3.155,,,
8-Mar,Chicago,3.364,,,
8-Apr,Chicago,3.665,,,
8-May,Chicago,4.021,,,
8-Jun,Chicago,4.23,,,
8-Jul,Chicago,4.271,,,
8-Aug,Chicago,4.061,,,
8-Sep,Chicago,4.065,,,
8-Oct,Chicago,3.374,,,
8-Nov,Chicago,2.331,,,
8-Dec,Chicago,1.754,,,
9-Jan,Chicago,1.987,,,
9-Feb,Chicago,1.978,,,
9-Mar,Chicago,2.065,,,
9-Apr,Chicago,2.182,,,
9-May,Chicago,2.536,,,
9-Jun,Chicago,2.887,,,
9-Jul,Chicago,2.699,,,
9-Aug,Chicago,2.738,,,
9-Sep,Chicago,2.634,,,
9-Oct,Chicago,2.675,,,
9-Nov,Chicago,2.796,,,
9-Dec,Chicago,2.738,,,
10-Jan,Chicago,2.87,,,
10-Feb,Chicago,2.768,,,
10-Mar,Chicago,2.939,,,
10-Apr,Chicago,3.102,,,
10-May,Chicago,3.084,,,
10-Jun,Chicago,2.943,,,
10-Jul,Chicago,2.923,,,
10-Aug,Chicago,2.906,,,
10-Sep,Chicago,2.983,,,
10-Oct,Chicago,2.996,,,
10-Nov,Chicago,3.049,,,
10-Dec,Chicago,3.161,,,
11-Jan,Chicago,3.292,,,
11-Feb,Chicago,3.412,,,
11-Mar,Chicago,3.745,,,
11-Apr,Chicago,4.16,,,
11-May,Chicago,4.328,,,
11-Jun,Chicago,4.1,,,
11-Jul,Chicago,3.995,,,
11-Aug,Chicago,3.937,,,
11-Sep,Chicago,3.903,,,
11-Oct,Chicago,3.567,,,
11-Nov,Chicago,3.56,,,
11-Dec,Chicago,3.414,,,
12-Jan,Chicago,3.602,,,
12-Feb,Chicago,3.644,,,
12-Mar,Chicago,4.267,,,
12-Apr,Chicago,4.293,,,
12-May,Chicago,4.097,,,
12-Jun,Chicago,3.873,,,
12-Jul,Chicago,3.749,,,
12-Aug,Chicago,4.2,,,
12-Sep,Chicago,4.248,,,
12-Oct,Chicago,3.884,,,
12-Nov,Chicago,3.614,,,
12-Dec,Chicago,3.462,,,
13-Jan,Chicago,3.45,,,
13-Feb,Chicago,3.963,,,
13-Mar,Chicago,3.958,,,
13-Apr,Chicago,3.995,,,
13-May,Chicago,4.207,,,
13-Jun,Chicago,4.278,,,
13-Jul,Chicago,4.002,,,
13-Aug,Chicago,3.841,,,
13-Sep,Chicago,3.769,,,
13-Oct,Chicago,3.542,,,
13-Nov,Chicago,3.41,,,
13-Dec,Chicago,3.417,,,
14-Jan,Chicago,3.524,,,
14-Feb,Chicago,3.61,,,
14-Mar,Chicago,3.911,,,
14-Apr,Chicago,4.082,,,
14-May,Chicago,3.974,,,
14-Jun,Chicago,4.09,,,
14-Jul,Chicago,3.804,,,
14-Aug,Chicago,3.702,,,
14-Sep,Chicago,3.735,,,
14-Oct,Chicago,3.437,,,
14-Nov,Chicago,3.164,,,
14-Dec,Chicago,2.716,,,
15-Jan,Chicago,2.217,,,
15-Feb,Chicago,2.462,,,
15-Mar,Chicago,2.699,,,
15-Apr,Chicago,2.79,,,
15-May,Chicago,2.998,,,
15-Jun,Chicago,3.208,,,
15-Jul,Chicago,3.072,,,
15-Aug,Chicago,3.09,,,
15-Sep,Chicago,2.8,,,
15-Oct,Chicago,2.711,,,
15-Nov,Chicago,2.33,,,
15-Dec,Chicago,2.2,,,
16-Jan,Chicago,2.068,,,
16-Feb,Chicago,1.808,,,
16-Mar,Chicago,2.195,,,
16-Apr,Chicago,2.357,,,
16-May,Chicago,2.566,,,
16-Jun,Chicago,2.764,,,
16-Jul,Chicago,2.455,,,
16-Aug,Chicago,2.441,,,
16-Sep,Chicago,2.45,,,
16-Oct,Chicago,2.429,,,
16-Nov,Chicago,2.325,,,
16-Dec,Chicago,2.526,,,
17-Jan,Chicago,2.566,,,
17-Feb,Chicago,2.464,,,
17-Mar,Chicago,2.513,,,
17-Apr,Chicago,2.682,,,
17-May,Chicago,2.626,,,
17-Jun,Chicago,2.528,,,
17-Jul,Chicago,2.528,,,
17-Aug,Chicago,2.558,,,
17-Sep,Chicago,2.7,,,
17-Oct,Chicago,2.699,,,
17-Nov,Chicago,2.888,,,
17-Dec,Chicago,2.7,,,
18-Jan,Chicago,2.806,,,
18-Feb,Chicago,2.702,,,
18-Mar,Chicago,2.79,,,
18-Apr,Chicago,2.981,,,
18-May,Chicago,3.21,,,
18-Jun,Chicago,3.188,,,
18-Jul,Chicago,3.094,,,
18-Aug,Chicago,3.046,,,
18-Sep,Chicago,3.046,,,
18-Oct,Chicago,3.014,,,
18-Nov,Chicago,2.713,,,
18-Dec,Chicago,2.379,,,
19-Jan,Chicago,2.266,,,
19-Feb,Chicago,2.46,,,
19-Mar,Chicago,2.731,,,
19-Apr,Chicago,3.119,,,
19-May,Chicago,3.281,,,
19-Jun,Chicago,3.094,,,
19-Jul,Chicago,3.228,,,
19-Aug,Chicago,2.95,,,
19-Sep,Chicago,2.876,,,
19-Oct,Chicago,2.876,,,
19-Nov,Chicago,2.753,,,
19-Dec,Chicago,2.725,,,
20-Jan,Chicago,2.764,,,
20-Feb,Chicago,2.682,,,
20-Mar,Chicago,2.454,,,
20-Apr,Chicago,2.029,,,
20-May,Chicago,2.281,,,
20-Jun,Chicago,2.464,,,
20-Jul,Chicago,2.497,,,
20-Aug,Chicago,2.463,,,
20-Sep,Chicago,2.45,,,
20-Oct,Chicago,2.385,,,
20-Nov,Chicago,2.325,,,
20-Dec,Chicago,2.403,,,
21-Jan,Chicago,2.574,,,
21-Feb,Chicago,2.754,,,
21-Mar,Chicago,3.119,,,
21-Apr,Chicago,3.181,,,
Jun-00,Cleveland,,,,
Jul-00,Cleveland,,,,
Aug-00,Cleveland,,,,
Sep-00,Cleveland,,,,
Oct-00,Cleveland,,,,
Nov-00,Cleveland,,,,
Dec-00,Cleveland,,,,
1-Jan,Cleveland,,,,
1-Feb,Cleveland,,,,
1-Mar,Cleveland,,,,
1-Apr,Cleveland,,,,
1-May,Cleveland,,,,
1-Jun,Cleveland,,,,
1-Jul,Cleveland,,,,
1-Aug,Cleveland,,,,
1-Sep,Cleveland,,,,
1-Oct,Cleveland,,,,
1-Nov,Cleveland,,,,
1-Dec,Cleveland,,,,
2-Jan,Cleveland,,,,
2-Feb,Cleveland,,,,
2-Mar,Cleveland,,,,
2-Apr,Cleveland,,,,
2-May,Cleveland,,,,
2-Jun,Cleveland,,,,
2-Jul,Cleveland,,,,
2-Aug,Cleveland,,,,
2-Sep,Cleveland,,,,
2-Oct,Cleveland,,,,
2-Nov,Cleveland,,,,
2-Dec,Cleveland,,,,
3-Jan,Cleveland,,,,
3-Feb,Cleveland,,,,
3-Mar,Cleveland,,,,
3-Apr,Cleveland,,,,
3-May,Cleveland,,,,
3-Jun,Cleveland,1.498,,,
3-Jul,Cleveland,1.516,,,
3-Aug,Cleveland,1.658,,,
3-Sep,Cleveland,1.699,,,
3-Oct,Cleveland,1.604,,,
3-Nov,Cleveland,1.54,,,
3-Dec,Cleveland,1.452,,,
4-Jan,Cleveland,1.611,,,
4-Feb,Cleveland,1.682,,,
4-Mar,Cleveland,1.734,,,
4-Apr,Cleveland,1.795,,,
4-May,Cleveland,1.988,,,
4-Jun,Cleveland,1.882,,,
4-Jul,Cleveland,1.895,,,
4-Aug,Cleveland,1.885,,,
4-Sep,Cleveland,1.897,,,
4-Oct,Cleveland,2.009,,,
4-Nov,Cleveland,1.934,,,
4-Dec,Cleveland,1.793,,,
5-Jan,Cleveland,1.888,,,
5-Feb,Cleveland,1.975,,,
5-Mar,Cleveland,2.168,,,
5-Apr,Cleveland,2.217,,,
5-May,Cleveland,2.095,,,
5-Jun,Cleveland,2.162,,,
5-Jul,Cleveland,2.271,,,
5-Aug,Cleveland,2.496,,,
5-Sep,Cleveland,2.889,,,
5-Oct,Cleveland,2.63,,,
5-Nov,Cleveland,2.149,,,
5-Dec,Cleveland,2.227,,,
6-Jan,Cleveland,2.349,,,
6-Feb,Cleveland,2.25,,,
6-Mar,Cleveland,2.481,,,
6-Apr,Cleveland,2.752,,,
6-May,Cleveland,2.847,,,
6-Jun,Cleveland,2.821,,,
6-Jul,Cleveland,2.988,,,
6-Aug,Cleveland,2.867,,,
6-Sep,Cleveland,2.343,,,
6-Oct,Cleveland,2.16,,,
6-Nov,Cleveland,2.273,,,
6-Dec,Cleveland,2.298,,,
7-Jan,Cleveland,2.188,,,
7-Feb,Cleveland,2.362,,,
7-Mar,Cleveland,2.53,,,
7-Apr,Cleveland,2.815,,,
7-May,Cleveland,3.249,,,
7-Jun,Cleveland,3.018,,,
7-Jul,Cleveland,2.909,,,
7-Aug,Cleveland,2.758,,,
7-Sep,Cleveland,2.94,,,
7-Oct,Cleveland,2.817,,,
7-Nov,Cleveland,3.142,,,
7-Dec,Cleveland,3.005,,,
8-Jan,Cleveland,3.079,,,
8-Feb,Cleveland,3.056,,,
8-Mar,Cleveland,3.261,,,
8-Apr,Cleveland,3.386,,,
8-May,Cleveland,3.841,,,
8-Jun,Cleveland,4.033,,,
8-Jul,Cleveland,3.984,,,
8-Aug,Cleveland,3.718,,,
8-Sep,Cleveland,3.753,,,
8-Oct,Cleveland,2.887,,,
8-Nov,Cleveland,1.953,,,
8-Dec,Cleveland,1.688,,,
9-Jan,Cleveland,1.924,,,
9-Feb,Cleveland,1.89,,,
9-Mar,Cleveland,1.985,,,
9-Apr,Cleveland,2.035,,,
9-May,Cleveland,2.34,,,
9-Jun,Cleveland,2.734,,,
9-Jul,Cleveland,2.509,,,
9-Aug,Cleveland,2.597,,,
9-Sep,Cleveland,2.506,,,
9-Oct,Cleveland,2.555,,,
9-Nov,Cleveland,2.638,,,
9-Dec,Cleveland,2.632,,,
10-Jan,Cleveland,2.745,,,
10-Feb,Cleveland,2.6,,,
10-Mar,Cleveland,2.755,,,
10-Apr,Cleveland,2.846,,,
10-May,Cleveland,2.786,,,
10-Jun,Cleveland,2.736,,,
10-Jul,Cleveland,2.764,,,
10-Aug,Cleveland,2.7,,,
10-Sep,Cleveland,2.781,,,
10-Oct,Cleveland,2.838,,,
10-Nov,Cleveland,2.923,,,
10-Dec,Cleveland,3.043,,,
11-Jan,Cleveland,3.166,,,
11-Feb,Cleveland,3.235,,,
11-Mar,Cleveland,3.584,,,
11-Apr,Cleveland,3.89,,,
11-May,Cleveland,3.988,,,
11-Jun,Cleveland,3.642,,,
11-Jul,Cleveland,3.658,,,
11-Aug,Cleveland,3.649,,,
11-Sep,Cleveland,3.575,,,
11-Oct,Cleveland,3.346,,,
11-Nov,Cleveland,3.319,,,
11-Dec,Cleveland,3.299,,,
12-Jan,Cleveland,3.448,,,
12-Feb,Cleveland,3.554,,,
12-Mar,Cleveland,3.895,,,
12-Apr,Cleveland,3.819,,,
12-May,Cleveland,3.73,,,
12-Jun,Cleveland,3.627,,,
12-Jul,Cleveland,3.467,,,
12-Aug,Cleveland,3.816,,,
12-Sep,Cleveland,3.842,,,
12-Oct,Cleveland,3.636,,,
12-Nov,Cleveland,3.502,,,
12-Dec,Cleveland,3.358,,,
13-Jan,Cleveland,3.337,,,
13-Feb,Cleveland,3.721,,,
13-Mar,Cleveland,3.748,,,
13-Apr,Cleveland,3.613,,,
13-May,Cleveland,3.777,,,
13-Jun,Cleveland,3.806,,,
13-Jul,Cleveland,3.531,,,
13-Aug,Cleveland,3.567,,,
13-Sep,Cleveland,3.541,,,
13-Oct,Cleveland,3.34,,,
13-Nov,Cleveland,3.251,,,
13-Dec,Cleveland,3.315,,,
14-Jan,Cleveland,3.397,,,
14-Feb,Cleveland,3.491,,,
14-Mar,Cleveland,3.665,,,
14-Apr,Cleveland,3.762,,,
14-May,Cleveland,3.787,,,
14-Jun,Cleveland,3.844,,,
14-Jul,Cleveland,3.519,,,
14-Aug,Cleveland,3.51,,,
14-Sep,Cleveland,3.439,,,
14-Oct,Cleveland,3.157,,,
14-Nov,Cleveland,2.946,,,
14-Dec,Cleveland,2.508,,,
15-Jan,Cleveland,2.043,,,
15-Feb,Cleveland,2.302,,,
15-Mar,Cleveland,2.42,,,
15-Apr,Cleveland,2.451,,,
15-May,Cleveland,2.638,,,
15-Jun,Cleveland,2.862,,,
15-Jul,Cleveland,2.679,,,
15-Aug,Cleveland,2.575,,,
15-Sep,Cleveland,2.334,,,
15-Oct,Cleveland,2.437,,,
15-Nov,Cleveland,2.181,,,
15-Dec,Cleveland,2.026,,,
16-Jan,Cleveland,1.887,,,
16-Feb,Cleveland,1.754,,,
16-Mar,Cleveland,2.021,,,
16-Apr,Cleveland,2.191,,,
16-May,Cleveland,2.425,,,
16-Jun,Cleveland,2.576,,,
16-Jul,Cleveland,2.232,,,
16-Aug,Cleveland,2.251,,,
16-Sep,Cleveland,2.215,,,
16-Oct,Cleveland,2.265,,,
16-Nov,Cleveland,2.183,,,
16-Dec,Cleveland,2.363,,,
17-Jan,Cleveland,2.365,,,
17-Feb,Cleveland,2.228,,,
17-Mar,Cleveland,2.284,,,
17-Apr,Cleveland,2.449,,,
17-May,Cleveland,2.368,,,
17-Jun,Cleveland,2.302,,,
17-Jul,Cleveland,2.296,,,
17-Aug,Cleveland,2.374,,,
17-Sep,Cleveland,2.589,,,
17-Oct,Cleveland,2.451,,,
17-Nov,Cleveland,2.705,,,
17-Dec,Cleveland,2.48,,,
18-Jan,Cleveland,2.54,,,
18-Feb,Cleveland,2.498,,,
18-Mar,Cleveland,2.515,,,
18-Apr,Cleveland,2.72,,,
18-May,Cleveland,2.868,,,
18-Jun,Cleveland,2.806,,,
18-Jul,Cleveland,2.816,,,
18-Aug,Cleveland,2.802,,,
18-Sep,Cleveland,2.82,,,
18-Oct,Cleveland,2.781,,,
18-Nov,Cleveland,2.493,,,
18-Dec,Cleveland,2.13,,,
19-Jan,Cleveland,2.058,,,
19-Feb,Cleveland,2.282,,,
19-Mar,Cleveland,2.494,,,
19-Apr,Cleveland,2.701,,,
19-May,Cleveland,2.739,,,
19-Jun,Cleveland,2.632,,,
19-Jul,Cleveland,2.778,,,
19-Aug,Cleveland,2.666,,,
19-Sep,Cleveland,2.662,,,
19-Oct,Cleveland,2.592,,,
19-Nov,Cleveland,2.544,,,
19-Dec,Cleveland,2.626,,,
20-Jan,Cleveland,2.576,,,
20-Feb,Cleveland,2.479,,,
20-Mar,Cleveland,2.05,,,
20-Apr,Cleveland,1.542,,,
20-May,Cleveland,1.897,,,
20-Jun,Cleveland,2.217,,,
20-Jul,Cleveland,2.229,,,
20-Aug,Cleveland,2.201,,,
20-Sep,Cleveland,2.168,,,
20-Oct,Cleveland,2.165,,,
20-Nov,Cleveland,2.04,,,
20-Dec,Cleveland,2.136,,,
21-Jan,Cleveland,2.313,,,
21-Feb,Cleveland,2.518,,,
21-Mar,Cleveland,2.78,,,
21-Apr,Cleveland,2.815,,,
Jun-00,Denver,1.612,,,
Jul-00,Denver,1.65,,,
Aug-00,Denver,1.545,,,
Sep-00,Denver,1.587,,,
Oct-00,Denver,1.573,,,
Nov-00,Denver,1.583,,,
Dec-00,Denver,1.543,,,
1-Jan,Denver,1.477,,,
1-Feb,Denver,1.507,,,
1-Mar,Denver,1.461,,,
1-Apr,Denver,1.603,,,
1-May,Denver,1.781,,,
1-Jun,Denver,1.775,,,
1-Jul,Denver,1.559,,,
1-Aug,Denver,1.472,,,
1-Sep,Denver,1.657,,,
1-Oct,Denver,1.478,,,
1-Nov,Denver,1.224,,,
1-Dec,Denver,1.092,,,
2-Jan,Denver,1.133,,,
2-Feb,Denver,1.135,,,
2-Mar,Denver,1.264,,,
2-Apr,Denver,1.406,,,
2-May,Denver,1.411,,,
2-Jun,Denver,1.384,,,
2-Jul,Denver,1.462,,,
2-Aug,Denver,1.494,,,
2-Sep,Denver,1.446,,,
2-Oct,Denver,1.528,,,
2-Nov,Denver,1.498,,,
2-Dec,Denver,1.427,,,
3-Jan,Denver,1.488,,,
3-Feb,Denver,1.603,,,
3-Mar,Denver,1.681,,,
3-Apr,Denver,1.577,,,
3-May,Denver,1.499,,,
3-Jun,Denver,1.504,,,
3-Jul,Denver,1.518,,,
3-Aug,Denver,1.636,,,
3-Sep,Denver,1.701,,,
3-Oct,Denver,1.553,,,
3-Nov,Denver,1.525,,,
3-Dec,Denver,1.461,,,
